sampleID;filename;date;time
4_Blanco;Process_Blank/4_Blanco.CDF;2024-09-04;09:54:25.160797
4_Blanco;Process_Blank/4_Blanco.mzXML;2023-07-12;18:48:16.540096
11_QC;Quality_Control/11_QC.CDF;2024-09-04;09:55:21.335258
11_QC;Quality_Control/11_QC.mzXML;2023-07-12;18:47:45.862438
20_QC;Quality_Control/20_QC.CDF;2024-09-04;09:56:33.537226
20_QC;Quality_Control/20_QC.mzXML;2023-07-12;18:47:07.37125
26_QC;Quality_Control/26_QC.CDF;2024-09-04;09:57:21.057436
26_QC;Quality_Control/26_QC.mzXML;2023-07-12;18:46:41.602295
36_QC;Quality_Control/36_QC.CDF;2024-09-04;09:58:40.617086
36_QC;Quality_Control/36_QC.mzXML;2023-07-12;18:45:59.598904
44_QC;Quality_Control/44_QC.CDF;2024-09-04;09:59:44.445999
44_QC;Quality_Control/44_QC.mzXML;2023-07-12;18:45:25.12653
50_QC;Quality_Control/50_QC.CDF;2024-09-04;10:00:32.965977
50_QC;Quality_Control/50_QC.mzXML;2023-07-12;18:44:58.849695
15_2210;Samples/15_2210.CDF;2024-09-04;09:55:53.343445
15_2210;Samples/15_2210.mzXML;2023-07-12;18:47:28.777058
16_11665;Samples/16_11665.CDF;2024-09-04;09:56:01.419693
16_11665;Samples/16_11665.mzXML;2023-07-12;18:47:24.314495
22_13;Samples/22_13.CDF;2024-09-04;09:56:49.439779
22_13;Samples/22_13.mzXML;2023-07-12;18:46:59.040524
23_16;Samples/23_16.CDF;2024-09-04;09:56:57.328583
23_16;Samples/23_16.mzXML;2023-07-12;18:46:54.611391
24_08082204;Samples/24_08082204.CDF;2024-09-04;09:57:05.26424
24_08082204;Samples/24_08082204.mzXML;2023-07-12;18:46:50.210268
25_22;Samples/25_22.CDF;2024-09-04;09:57:13.23114
25_22;Samples/25_22.mzXML;2023-07-12;18:46:45.844904
30_08082205;Samples/30_08082205.CDF;2024-09-04;09:57:52.815689
30_08082205;Samples/30_08082205.mzXML;2023-07-12;18:46:24.087978
32_07082201;Samples/32_07082201.CDF;2024-09-04;09:58:08.811974
32_07082201;Samples/32_07082201.mzXML;2023-07-12;18:46:15.92082
33_51480;Samples/33_51480.CDF;2024-09-04;09:58:16.716381
33_51480;Samples/33_51480.mzXML;2023-07-12;18:46:12.249664
38_21;Samples/38_21.CDF;2024-09-04;09:58:56.58213
38_21;Samples/38_21.mzXML;2023-07-12;18:45:50.580784
39_07082204;Samples/39_07082204.CDF;2024-09-04;09:59:04.408438
39_07082204;Samples/39_07082204.mzXML;2023-07-12;18:45:46.383375
41_20;Samples/41_20.CDF;2024-09-04;09:59:20.310999
41_20;Samples/41_20.mzXML;2023-07-12;18:45:37.955477
46_15;Samples/46_15.CDF;2024-09-04;10:00:00.707859
46_15;Samples/46_15.mzXML;2023-07-12;18:45:16.676565
47_51467;Samples/47_51467.CDF;2024-09-04;10:00:08.674755
47_51467;Samples/47_51467.mzXML;2023-07-12;18:45:12.260805
48_51468;Samples/48_51468.CDF;2024-09-04;10:00:16.750994
48_51468;Samples/48_51468.mzXML;2023-07-12;18:45:07.899231
