"Filename",14_08082202.mzData,25_22.mzData,15_2210.mzData,16_11665.mzData,23_16.mzData,24_D8o822B4.mzData,22_13.mzData,32_09082201.mzData,39_07082204.mzData,11_Grupo_control_1.mzData,20_Grupo_control_1.mzData,33_51480.mzData,46_15.mzData,26_Grupo_control_1.mzData,36_Grupo_control_1.mzData,44_Grupo_control_1.mzData,38_21.mzData,41_20.mzData,48_51468.mzData,47_51467.mzData,50_Grupo_control_1.mzData,30_08082205.mzData
run_date,,,,,,,,,,,,,,,,,,,,,,
3712/51.0000mz/15.47min,305.0,370.0,634.0,,470.0,295.0,310.0,,,,1156.0,383.0,377.0,,,,159.0,11115.8564453125,313.0,402.0,,855.0
4720/51.0000mz/18.50min,286.0,145.0,228.0,,162.0,218.0,239.0,871.0,286.0,538.0,546.0,345.0,226.0,527.0,508.0,612.0,1019.9879150390625,,250.0,1066.0,591.0,596.0
5537/51.0000mz/20.81min,220.0,119.0,194.0,385.0,148.0,129.0,228.0,655.0,164.0,,,306.0,183.0,,,,185.0,2596.0,230.0,271.0,,1814.9891357421875
7428/51.0000mz/25.20min,212.0,119.0,202.0,,151.0,166.0,2358.0,271.0,194.0,,,433.0,542.9954833984375,,,,190.0,1018.0,252.0,668.0,958.0,
7791/51.0000mz/25.98min,190.0,140.0,180.0,270.0,162.0,146.0,233.0,207.0,146.0,391.0,458.0,409.0,276.0,394.0,,393.0,148.0,5613.875,244.0,1097.0,431.0,
11642/51.0000mz/34.49min,190.0,127.0,129.0,183.0,130.0,150.0,172.0,183.0,183.0,321.0,313.0,263.0,1113.992919921875,302.0,326.0,354.0,134.0,482.0,228.0,686.0,343.0,690.0
14957/51.0000mz/42.75min,420.0,481.9970397949219,471.0,468.0,,542.0,695.0,575.0,610.0,636.0,631.0,721.0,574.0,625.0,,679.0,500.0,871.0,636.0,682.0,713.0,836.0
5903/51.0001mz/21.51min,198.0,111.0,158.0,194.0,132.0,127.0,913.0,154.0,151.0,,3892.0,1094.9886474609375,167.0,,,,151.0,32334.0,340.0,212.0,,793.0
3873/51.0001mz/16.31min,246.0,122.0,193.0,202.0,140.0,134.0,199.0,287.0,185.0,1419.9927978515625,1526.0,434.0,159.0,1414.0,1471.0,1575.0,150.0,28978.0,239.0,209.0,1518.0,652.0
14908/51.0001mz/42.75min,420.0,482.0,471.0,481.0,486.0,542.0,695.0,575.0,609.9946899414062,636.0,631.0,721.0,574.0,625.0,722.0,679.0,500.0,871.0,702.0,682.0,713.0,836.0
