"","AlignID","Factor","tmean","FoundIn","4_Blanco","11_QC","20_QC","26_QC","36_QC","44_QC","50_QC","15_2210","16_11665","22_13","23_16","24_08082204","25_22","30_08082205","32_07082201","33_51480","38_21","39_07082204","41_20","46_15","47_51467","48_51468"
"580",581,"Factor #581",12.6486,21,323.4458,425.6187,507.2596,422.177,461.7514,525.5515,422.1295,957,610,526,324.6522,0,363.349,77.44448,173.0435,118.5382,4.580306,562,282.4544,91.39718,30.95991,1735
"581",580,"Factor #580",12.6557,22,325.2776,425.6187,524.6074,422.177,461.7514,525.5515,422.1295,1024,1127,567.8261,264.7826,52.20699,363.349,260.4392,181.8696,457.9708,32.66162,1565,379.235,100.2174,31.66949,2955
"583",585,"Factor #585",12.7384,22,725,692.8623,395.1734,904.7847,737.4914,945.6957,643.1702,690.7864,1719.386,2505,843.7596,241.3043,863,481.6957,483.5652,1071,725.0555,764,13640.87,472.2174,22.1454,1161.941
"584",584,"Factor #584",12.7414,22,829.8238,550,1118,638,754.7957,795,643.692,670,606,1075,843.7596,241.3043,1092.708,554,483.5652,2120,751.0775,874,11015.57,472.2174,21.67868,1027
"585",583,"Factor #583",12.7427,22,748,753,986,951,755,1088,644,660,1857,2577,781,241.3043,1092,553.9565,483.5652,3374,750.9293,1350,13640.87,472.2174,151.5217,1272
"587",587,"Factor #587",12.833,22,135.5976,10401.53,10690.99,7314,11341.2,13436.55,13181.37,131.6087,3277,921,93.21739,22.65982,240.1191,204584.9,71.39682,162.107,100601,1120,383.5355,186.4348,55.05989,200.913
"589",589,"Factor #589",12.8382,22,13.66823,13809,14703,12862,15648,17394,16441,113.6665,1599.932,224.572,55.26087,53,73.19489,292688,44.47822,195.6604,97207.54,247.7085,5180.826,227.0435,78.30113,159.0565
"590",592,"Factor #592",12.8402,22,33.86957,10407,10977,9586,11756,12080.47,11956.53,59.3702,144.0975,41.49017,28.17112,20.27727,23.446,231556.9,55.22199,142.2414,9336.366,90.6087,3778.499,34.15129,130.6522,37.2037
"592",591,"Factor #591",12.8673,22,15.15905,946,8290.667,1614,918,814,1759,58.47275,52.53317,37.11535,21.87541,20.26064,36.68219,52121.1,54.73913,119.7642,2230.856,14.57489,1520.975,15.94298,131.0736,85.70929
"594",595,"Factor #595",13.2591,22,151.2482,554,840,905.7826,846,797,1179.783,738.9565,769,714.3913,263.5652,237.1414,320.087,861.1739,512.2174,927,316.1315,921.7826,1734.913,536.3043,578.0435,1180
"595",594,"Factor #594",13.2625,22,136.7826,661,902,906,1039,1054,1180,731,883,557,263.5652,237.1414,320.087,814,507,1103,234.0435,922,1920.435,536.3043,706,1233
"596",598,"Factor #598",13.3182,22,11.55238,1042,1197.425,1105.803,1099,1232,1310,82.55976,106.7391,162.8433,121.5438,13.45016,28.80443,86.45529,94.39896,100.9837,59.47948,21.0973,156.1386,13.35827,18.08061,54.31236
"597",597,"Factor #597",13.3257,22,90.84391,1046,1198,1059,1241,930,1291,244.8451,252.1625,822.1952,554.5207,241.8825,525.5249,379.2866,259.4038,391.7302,55.36039,267.2059,652.3789,111.3416,95.17542,150.2092
"598",596,"Factor #596",13.3259,22,203.8696,364.4529,1388,979.3183,693.5798,487.2747,315.4297,524.2609,764,1647,1134,602.6977,1014,770,641.7394,767,549,666,1400.565,231.0435,216.5217,294.6087
"600",599,"Factor #599",13.4618,22,18.58496,17498,14272,12745,13581,13837,12821,58.46434,100.1622,64.42437,30.71269,22.41633,33.32057,510.2066,49.61811,27.01863,90.45267,31.85927,167408,75.88628,21.93267,47.95681
"601",600,"Factor #600",13.4677,22,26.21537,5686,4289,5803,13581,13837,6533,58.51394,52.78453,57.21409,50.08022,36.54945,30.53332,626.2917,26.03996,42.54796,788.871,91.04474,167407.5,41.57272,39.76877,46.73507
"602",602,"Factor #602",13.4973,22,18.3399,891,4289,720,884,4880,6533.203,58.76957,249.9832,75.02555,15.06706,31.7076,22.08112,3733.111,55.77134,62.57919,1508.53,34.94836,167407.5,42.48163,63.23202,46.98913
"603",603,"Factor #603",13.6875,22,300.7826,393.2609,557,666,501.913,546,472.5652,587.8261,1050,1127,424.0435,9.704809,552,571.9045,70.51634,1385.789,521.5109,742,755.5741,91.04829,139.9884,1117.637
"605",604,"Factor #604",13.7925,22,47.67518,917,1211,971,976,753,636,147.0435,184.3889,87.62053,116.3478,58.14832,69.04348,18528,32.64897,160.2609,2055.923,118.5419,453.746,44.47653,1132.082,188.7248
"606",607,"Factor #607",13.8255,22,570,871,1211.174,1220.739,970,1211,947.913,589,1100,2217,609,129.913,874,750.2656,434.7391,1879,4977.778,1832.043,385.65,290.3913,86.79555,1524
"607",606,"Factor #606",13.8259,22,747,877,1211,1221,924,1057,948,710,1663,2217,700,101.8646,997,942.3503,434.7391,1879,4682.806,1832,369.9852,290.3913,105.8161,2154
"608",608,"Factor #608",13.8348,22,747.1304,877.3478,667,893,970.4783,1210.913,726,731.0211,1617.629,2093.826,914,152.6522,996.5217,482.2624,434.7391,1726.652,4090.593,1832.043,669.5331,294.5217,102.7338,1820
"610",610,"Factor #610",13.9184,22,19.61327,8360,6829,5768,7086,9877,9372,70.86957,27.59503,48.34783,88.86957,164.0465,27.34347,233.489,18.47581,136.5284,47.0305,93.85112,164.1041,165.8261,222.2262,23.99709
"611",611,"Factor #611",13.92,22,13.06691,2050,1254,5768,7086,9877,9371.933,70.86957,70.34783,20.05802,117.6957,157.5652,25.6531,193.3377,24.94375,53.67566,23.84214,94.3913,148.6672,422.3478,48.96678,9.177737
"612",612,"Factor #612",13.947,20,0,4798.013,2385.173,696,1470,1594,3909,70.86957,70.34783,48.34783,117.6957,157.5652,0,188.5094,28.19196,67.56929,3249.105,94.3913,193.7744,395.5652,896.6037,70.2827
"613",615,"Factor #615",14.0261,22,4.389012,1208,3108.087,623,3413.462,924,1788,15.46073,7371.964,944.9274,59.69659,8.483712,41.64293,591,148.6957,47.49836,40870.15,65.21739,73.85559,470.5275,12381.32,135.7576
"614",613,"Factor #613",14.0277,22,18.50876,3835,3108,2812,4085,2949,4079,26.68659,7976,945,106.0284,14.40669,51,645,148.6957,140.8966,44699,74.26087,137.4114,470.5275,20355,133.8091
