"","AlignID","Factor","tmean","FoundIn","4_Blanco","11_QC","20_QC","26_QC","36_QC","44_QC","50_QC","15_2210","16_11665","22_13","23_16","24_08082204","25_22","30_08082205","32_07082201","33_51480","38_21","39_07082204","41_20","46_15","47_51467","48_51468"
"733",732,"Factor #732",17.2025,22,14.03318,160.3963,40.21727,165.8736,167.8324,526.5644,494.0711,969,5340,849.2442,245.3849,985,73.87537,2363.33,626,119.4109,98.9104,977,175.7906,177.7201,134.8038,676
"734",731,"Factor #731",17.2045,22,45.17215,257.7133,100.4018,273.1037,283.7139,605.376,590.8372,2111,5292,1185.058,226.2589,874,62.85874,4415.729,2288,186.7064,78.92804,1147,168.3618,177.7201,139.458,976
"735",734,"Factor #734",17.2268,22,81.80967,1261,1260,1001,1311,1550.121,1632.39,146.7257,370.1728,425.5078,71.5696,49.21246,99.51534,43948,76.33778,1292.114,253.5937,71.88977,119.9003,88.34419,90.79258,67.19037
"746",744,"Factor #744",17.4866,22,31.35936,2462.724,2455.269,2828.49,2740.682,2885.403,2434.01,645,2136,79.20463,41.64212,352.0773,242.6322,12494,731,127.1765,109.6957,1196,10712.08,205.4783,103.6522,4420
"747",748,"Factor #748",17.4877,22,104.6635,16689,20247,18220,22323,20369,19092,124.5616,63.90351,278.1654,108.909,49.50371,141.7153,239.7991,97.25232,90.51854,32.57999,198.3586,1573.081,83.12802,18.4471,309.931
"748",749,"Factor #749",17.4914,22,112.7129,16599,20247,18219.91,22323,20369,19092,102.5558,52.55261,231.5498,88.51381,46.08696,122.2453,185.4157,95.18127,91.11578,31.7654,155.4183,1303.905,71.02862,14.08668,264.085
"749",745,"Factor #745",17.4934,22,23.10899,1956.563,2132.642,2194.91,2200.822,2294.272,2120.178,580,1107,59.18162,34.49159,302.8599,242.6322,11325.68,782,94.18006,90.30435,633,8119.98,205.4783,103.6522,1394
"750",751,"Factor #751",17.592,22,30.03924,17727,19364,15661,16775,15659,15375,58.31506,39.64246,34.82608,46.18181,56.69711,18.75995,494.0988,185.9807,104.1838,35.62641,32.09347,1443.952,36.84023,102.4298,65.51651
"751",750,"Factor #750",17.5964,22,288.8696,1106.086,774.1431,674.0725,606.6913,1367.345,770.6511,489.6087,743,897,338.3478,123.6957,453.4783,970.1514,274.4783,878,322.8696,789,510.3486,169,67.2776,914.3478
"754",753,"Factor #753",17.7639,22,125.428,9352,13655,13712,110064.8,92053.46,14981,128.61,106.3043,200.8877,104.921,42.21739,121.011,4541.119,59.21245,319.4694,227.5217,193.4737,4238.484,64.75657,200.6021,272.9516
"761",761,"Factor #761",17.868,22,155.5414,81845.48,84801,76450,79348,84754,61289.01,43.3839,536.9821,493.4348,157.1304,169.5721,51.30435,2524.573,137.2174,255.9994,192.4526,353.2174,529131.5,137.7826,121.5326,444.0435
"767",766,"Factor #766",18.0243,22,27.53035,2070,1615,1549,1585,2062,2083.003,36.15807,69.16328,136.4031,48.42093,76.80291,37.8089,34469,53.91055,43.21803,75.27179,164.563,1317.095,43.94408,52.91923,47.7902
"771",769,"Factor #769",18.0868,22,51.65217,27170,28174,26658,29319,28786,29762,2471,1391,143.7632,81.73913,21908,464.1425,905.7171,2964,323.9297,69.65217,52478,143183.7,114.5493,191.9179,216.2135
"774",773,"Factor #773",18.1416,22,330.3478,503.4623,1920.445,1620.274,1187.251,345.1466,501.0074,503.5652,855,1820,1704,1262.813,1364,1141.269,849.1739,945,971.1094,941.3258,2633.688,389.2662,345.2174,348.4609
"775",775,"Factor #775",18.143,22,50.20526,7717,4672,4087,4543,5665,5193,1685.564,582.096,109.2599,93.31839,13946.48,466.7705,563.7391,511.3798,120.2638,41.7688,14282.41,336457.2,41.94352,4731.789,83.60795
"778",779,"Factor #779",18.3441,22,144.0429,24634,31269,28087,36864,38077,37912.26,237.9425,436.3106,392.1678,121.8297,51.13876,222.7036,965.2069,90.2687,413.1111,148.9911,232.2435,10320.92,157.0957,1540.391,312.6674
"779",778,"Factor #778",18.3532,22,231.3043,24634,31269,28087,36864.17,38077,37912,504.6159,1038.304,549.5652,320.3913,132.6087,374.3913,1008.062,219.0719,667.1739,215.4348,531.2174,33755.33,235.929,2794.244,679.9565
"784",785,"Factor #785",18.3752,22,709,1457.342,11332.06,1421.99,12971.25,12642.88,11613.85,1569.612,2156.19,1973,943,292.087,1080,1137,661.1739,1900,627,1537.522,105364.8,688.5607,5965.56,1819
"786",781,"Factor #781",18.3811,22,84.30009,8635,9469,8048,9681,9973,10095,491.4052,392.8151,184.7071,200.6871,58.12677,74.41351,153.2741,120.1015,325.317,72.85035,313.8548,9862.089,86.58969,169872.2,244.2067
"787",788,"Factor #788",18.3857,22,175.0612,1591.188,1869.64,1828.418,1991.62,2449.588,2173.745,2734,2387,890.5761,1053,362.5968,516.487,641.5652,654.3043,1659.901,261.9201,1537.522,34758.09,824,14919.83,1041.409
"788",782,"Factor #782",18.3857,22,23.22841,8635,8578,8048,9681,9423,10095,1205.372,1169.113,261.0877,297.8195,102.2162,136.572,224.5191,33.84895,487.7184,31.07441,518.441,5834.722,310.236,169872.2,197.9483
"792",792,"Factor #792",18.5082,22,143.2087,868.2174,1405,959,742,1401.957,868,255.2587,591.1742,424.0122,178.4581,67.58301,204.4444,5201.728,8088.911,343.5206,525.1466,328.6592,26149.37,165.3452,2443.861,429.9259
"793",791,"Factor #791",18.5152,22,55.08696,1116,1459,1267,1419,1648,1459,177.4409,509.8001,154.4469,125.0339,100.2931,44.66661,5056.589,16516,58.66725,551.6532,160.0943,27355.9,126.6319,2711.782,183.319
"797",797,"Factor #797",18.637,22,26.91155,37462.39,39045,35866,41349,39030.98,13183,41.85541,302.8103,170.8696,24.11077,32.67156,31.09306,1835.754,39.31003,83.25074,58.92421,212.6087,3505.985,27.696,538642.8,153.5652
"798",796,"Factor #796",18.6409,22,32.80333,37463,39045,35656,41349,39031,41382,32.63248,135.1325,134.5336,25.29461,26.72911,31.98772,2858.274,145.2295,84.43478,85.4499,209.6087,4551.719,26.33364,538642,153.5652
"803",803,"Factor #803",18.8166,22,40.26977,712,4126,7751,7884,1356,10014,86.02732,82.86201,68.24682,57.16647,42.68351,23.44539,1436.994,15.98916,395.5867,248.796,70.43506,237566,72.22792,38.30583,83.27084
"804",802,"Factor #802",18.8318,22,39.73913,8038,8612,7751,9458,10078,10014,85.86957,100.9056,51.29573,57.65217,45.26087,24.80524,1736.115,25.29461,64.49803,302.4709,74.3699,237566,71.15826,70.90127,39.68856
"805",804,"Factor #804",18.8448,22,17.38244,1457,1604.596,6120,6253.196,672,2340,89.56075,90.42789,46.57474,29.88485,17.40199,22.56202,2331.643,22.15705,219.3344,47.83985,44.45752,227865.6,60.12212,47.18771,78.12248
"806",806,"Factor #806",18.8939,22,15.66843,653,724,606,764,739,759,1212,4816,230.2174,20.5922,11.35278,8.047361,30.98473,1208,1098,6.523898,459.7567,1687.237,25.19911,180.7301,182.4783
"807",807,"Factor #807",18.8967,21,16.46075,653.1824,532,529,688,715,554,1207,4816,230.2174,10.24862,0,18.32172,140.7673,1290.558,1081,11.09884,459.7567,1738.252,13.6322,180.4368,182.4783
"810",809,"Factor #809",18.9736,22,35.72641,1183,1198,1127,1243,1355,1288,38.26927,76.90083,36.74097,23.53451,50.03962,39.14022,715.3981,125.3913,30202,21.1528,74.5258,124.9457,59.48277,248.3103,31.09399
"812",812,"Factor #812",19.0443,22,35.67227,743,801,593,870,602,859.2174,46.44905,183.4737,574,3.494346,4.718286,4.050141,2086.062,7.90048,77.06679,1985.815,4.359337,77.01343,18.11597,5645,116.6522
"813",811,"Factor #811",19.05,22,65.86957,835,612,768,945,977,926,96.04348,180.5007,2048,53.3913,58.69565,68.73913,2429.769,109.5217,76.4845,3491,90.69565,76.36556,84.95652,5645,116.6522
"814",814,"Factor #814",19.1103,19,0,3692,3663,3454,3664,4412,4344,310.2609,20180,2374,0,0,48.44655,1659.348,1570,69.78261,76550,195.6087,2840.87,397.9565,155.3043,132.1739
"815",815,"Factor #815",19.113,20,0,2695.478,3749.739,3245,3577.261,3336.609,3187.304,310.2609,2911,1303,0,36.78695,48.14757,1511.217,781,71.30266,76549.93,195.6087,1508.522,397.9565,155.3043,132.1739
"816",816,"Factor #816",19.1442,19,0,12145,15250,12964,15342,13349,13865,21.65575,1255.573,154.1345,0,0,36.04348,91.60078,101.4727,42.37374,4782.872,24.31556,668.7116,24.89001,51.24765,34.02796
"817",817,"Factor #817",19.1603,19,0,12129,15138,12964,15341.57,13349.26,13865,30.17391,997.6817,102.6724,0,0,34.65217,317.0524,24.69436,41.71824,3720.65,23.78249,769.1512,34.34541,10.42416,50.75402
"818",818,"Factor #818",19.2162,20,0,8772,9077,8453,11124,14808,11437,54.93549,329.3404,206.2929,103.6604,107.382,0,12492.04,136.956,59.43478,79.4701,95.75193,1081.946,113.8674,111.3478,95.17534
"819",820,"Factor #820",19.218,20,0,8771.033,1297,8452.722,11124,14806.71,11437,62.96808,339.263,221.4046,104.427,109.3745,0,12492,148.5281,59.82937,97.15435,99.40994,1082.689,124.2021,112.0628,94.8904
"820",819,"Factor #819",19.2222,20,0,8772,9077,1502,2319,14808,4849,64.17524,439.0403,221.7645,104.3662,109.4165,0,12492.04,148.9971,126.3071,80.00185,99.70451,1077.913,125.1648,112.0373,95.04624
"823",823,"Factor #823",19.2959,22,27.08221,9491,12075,10448,12825,10738,10479,22.94328,165.6922,41.89147,31.41575,40.78261,43.22223,181.2639,25.40781,49.44746,35.92845,55.87589,298.0535,8.594594,231.6484,20.01461
"824",824,"Factor #824",19.3027,22,25.9941,9491,12075,10448,12825,10738.43,10479,23.59686,114.4913,66.43478,31.77255,20.38161,43.3113,182.7371,29.6031,51.62313,36.10491,55.89906,299.0379,10.511,218.9859,18.00816
"825",827,"Factor #827",19.3552,22,280.8261,2724,3238,3171.435,3224,3382.826,3347,58.58498,499.7826,126.4602,70.69565,87.53764,134.9565,314.7371,99.22262,89.04348,81.26479,313.9565,407.9783,172.3043,66.91304,76.64324
"826",825,"Factor #825",19.3566,22,280.8261,2724,3238,3171,3323,3383,3891,58.55671,499.7826,126.5469,70.69565,87.25719,134.9565,311.004,99.17504,89.04348,81.2835,313.9565,405.8839,172.3043,85.6087,76.52174
"827",826,"Factor #826",19.368,22,280.8261,2048,2539,1010,2779,1390,3891,58.86747,499.7826,126.634,70.69565,87.3933,134.9565,309.071,99.27474,89.04348,81.21739,313.9565,404.0537,172.3043,85.6087,74.30435
"830",829,"Factor #829",19.4643,21,27.12775,4407,3455,3031,3679,4495,4314,36.67625,40.40437,24.98132,33.97499,34.5717,0,2512.321,34.73064,45.84334,121.7371,21.29482,121.9089,21.2136,43.72806,29.89104
"831",830,"Factor #830",19.4678,20,0,4323,3359,2827,1921,4495,4314,35.52691,39.29654,24.93355,33.89753,34.37206,0,2421.345,33.89911,46.05288,256.6147,21.41384,98.70734,20.86677,38.40232,23.53824
"834",833,"Factor #833",19.5793,22,113.3478,317.4937,282.3092,295.2781,407.6418,591.4918,605.9574,633,973,684.8261,801,740,633,891.1038,1368.998,674.7427,1264,1291,1584.254,1234,648.3043,1321
"835",835,"Factor #835",19.5827,22,43.39847,1214,1332,1312,1532,1416,1416,72.01258,134.978,77.40518,44.52226,88.72643,92.3296,2779.127,139.3806,1493.091,78.27995,139.7376,4184.995,186.7222,35.30155,140.5531
"836",836,"Factor #836",19.6971,21,0,866.7864,1181.031,935.3857,834,1173,1127.13,17.00296,19.14337,18.17954,10.52524,46.34783,34.22,4146,322.8261,528.9028,18.92086,28.90189,36485,20.45412,105.5648,31.7898
"839",839,"Factor #839",19.759,21,0,38532,38483,35614,40405,40185,41015,281.9289,185.6612,147.7826,34.65217,43.47826,23.47333,363.3765,31.61158,255.9975,39.80081,80.31679,61.47523,42.96092,43.07815,32.56522
"840",840,"Factor #840",19.759,21,0,38532,38483,35614.11,40405,40184.89,41015,273.2647,184.7668,147.7826,34.65217,43.47826,23.00889,355.8953,29.41745,100.504,39.56947,61.61706,61.39345,41.55901,42.29941,32.56522
"841",841,"Factor #841",19.819,20,0,32992.43,1863,4387,2109,5867,20631.29,62.71199,28.65217,140.6087,42.99817,43.47826,0,76.4675,45.12504,42.47541,39.56525,35.46057,339.2382,41.52174,18.4043,31.88327
"846",846,"Factor #846",20.0957,22,36.23645,898,519,567,705,648.4348,772,20.77228,18.38608,27.12278,56.95397,30.8377,11.50217,86.18536,16.69431,125.0404,64.29443,11.87202,170.9625,40.09981,259.4455,44.92544
"850",848,"Factor #848",20.182,22,1979,464657.3,363511.7,327543,325067,360628,337478,5540,6093,2924,577.4998,285.3204,186.7391,10385,331,4338,1412,566,11414.72,470.9752,1130.262,1051.556
"851",849,"Factor #849",20.1841,22,1788,431972.3,339097,406756.1,429915.4,334007.7,337478,5540,652,2901,577.4998,285.3204,186.7391,10385,331,4337.865,567,640.2174,10324.02,470.9752,2967.709,1034.165
"854",847,"Factor #847",20.3259,22,44.30435,1095746,1137859,1023091,1066206,1116925,1106134,98.19709,131.6973,2.549379,26.82609,28.6087,41.34376,560.5799,29.83251,24.82609,213.5474,15.71311,11407,25.19667,2.443425,33.31843
"857",860,"Factor #860",20.3789,22,17.25885,590,6564.57,4356.411,598,11207.47,721,72.41597,83.41581,116.7382,16.77878,80.90321,62.41614,12511,51.33144,214.9153,525,105.1289,604.3655,6.588163,3518.143,324.7791
"858",858,"Factor #858",20.385,22,20.47772,27844.98,12598.92,607,511,878,53138.36,47.5077,26.74567,41.68836,47.7335,35.35451,37.24689,1131.882,39.2485,92.70144,126.7861,30.53215,1219.526,35.22797,3097,107.5458
"861",856,"Factor #856",20.4511,22,42.91304,53718,56409,52362,63384,66467,66636,15.80434,45.48935,14.35418,29.69662,31.69565,12.19416,206.6202,35.31335,89.88929,31.65765,109.6522,1395.743,18.70615,909353,44.42492
"862",857,"Factor #857",20.467,20,42.98591,53717.85,1864,2011,63384,66467,2834,23.95764,45.3766,14.49715,28.59717,0,0,239.4326,33.58474,70.94496,34.93492,109.7304,1395.743,16.50069,909353,42.69001
"865",864,"Factor #864",20.5813,20,32.2407,2272.953,2601.293,2049.131,2497,3081,3016.303,20.22043,26.852,3695,20.41618,0,0,3136.101,33.42433,96.98295,39312,236.6813,309.5871,27.14119,17.29281,21.06678
"866",865,"Factor #865",20.5827,20,37.61765,3705,2960,2325,3463,2684,4718.087,59.86462,120.913,2339.661,31.35087,0,0,5015.937,40.47937,111.3221,24542.71,146.5904,95.75869,21.36542,26.48108,310.0435
"868",875,"Factor #875",20.6272,20,23.03659,4335,3817.335,1689,1506,1380,3566.999,46.05736,15.7963,902.9165,38.4147,0,0,988.9705,18.8982,57.55655,13142.73,79.69483,776.3054,38.9487,131.3058,30.24762
"869",876,"Factor #876",20.6285,20,181.0136,1326.4,1420.837,991.2507,2986.83,5139.839,5601.032,5.025974,118.639,8.494378,67.18415,0,0,522.6786,6.787701,672,556.4142,190.6638,5126.297,684,680,711
"870",869,"Factor #869",20.631,20,181.0136,1556.949,1690.153,1000.771,2986.83,5737,5818.119,96.50032,118.639,234.0477,146.7059,0,0,302.8828,78.50522,1136,276.7836,190.6638,8352.535,1082,2068,1642
"871",870,"Factor #870",20.6325,20,181.0136,1556.949,1584.323,994.9626,2986.83,5736.665,5818.119,96.50032,118.639,234.0477,146.7059,0,0,154.033,78.50522,1074,273.688,190.6638,6684.039,675,1107,1642
"872",868,"Factor #868",20.6345,21,181.0136,1556.949,1683.681,994.9626,2986.83,5736.665,5818.119,96.50032,118.639,234.0477,146.7059,0,46.54073,218.1861,78.50522,1125,273.5567,190.6638,8353,974,2068,1142
"874",872,"Factor #872",20.6521,21,181.0136,1862.221,2895.925,2436.822,1431,5737,5601,35.92948,107.2174,234.0477,146.7059,0,46.54073,1133.101,31.32843,408.4916,25.21209,138.6857,2855,684.1066,1341.641,370.5863
"881",881,"Factor #881",20.8352,20,20.19606,182577,190147,174129,178090,177960,184337,240.8863,218.4543,154.3503,105.0435,0,0,40531.03,92.1292,92.12101,125.2263,116.5924,94.76985,93.34783,77.08696,105.7391
"882",882,"Factor #882",20.8428,20,31.78261,183111,190147.9,174129,178090,178190,184337.9,21.30435,251.2174,178.7391,94.69656,0,0,43103.95,91.26087,165.8059,104.3713,99.64432,53.74624,82.27845,77.08696,105.7391
"883",883,"Factor #883",20.8458,20,31.78415,395631.3,190147,169750,178090,178476,184337,138.6119,200.057,178.7391,104.6308,0,0,27064.32,87.71086,70.28376,86.8895,144.3596,69.25455,93.34783,77.08696,77.13043
"885",885,"Factor #885",21.0247,18,0,628154,715406,670987,741861,782752.3,766729,30.27832,25.70922,307.4248,0,0,43.3449,51.92512,136.0522,41.10214,304.0422,0,1416.791,31.13105,84.57698,68.08696
"888",888,"Factor #888",21.1031,18,0,1256,1491,1242,2708,2162,2321,18.65142,176.3725,1935.124,0,0,0,6976.403,43.99454,2426.276,689.4348,38.88245,104042.8,25.62462,3053.792,116.0435
"890",890,"Factor #890",21.1317,18,0,1522,1464,1412,1385.434,3415.715,2004,17.25408,47.65651,605.1528,0,0,0,12752.44,23.30808,240.5184,515.7891,17.67349,40854.99,18.8259,17.0505,30.14596
"893",893,"Factor #893",21.2372,18,0,4847,4994,4740,5302,4992,5484,28.63348,13.2737,113890,0,37.07423,0,89.05671,31.52174,58808.33,22.32215,27.73913,117.3443,0,36.90228,31.06206
"894",894,"Factor #894",21.2386,18,0,1826,4907,4740,5302,4991.784,5053,31.67656,17.71263,113890.3,0,39.56623,0,250.509,32.59368,61224.33,22.73392,16.13599,109.9048,0,19.50304,62.32051
"896",895,"Factor #895",21.2885,20,0,1870,928.3918,323.3305,1702,308.4832,2256,12.49638,49.85946,47.88194,26.00392,45.51989,0,90.32661,30.11019,12997.23,25.39748,28.51515,21617,27.86655,19.4953,32.19957
"898",898,"Factor #898",21.3181,21,41.46506,3664,3850,3374.195,4200.707,4280,4380.475,38.76622,44.33221,70.73426,26.10817,24.7268,0,82.30516,24.30819,69980,29.27866,26.14346,472.0466,32.08921,101.1652,35.65705
"899",897,"Factor #897",21.3257,21,28.91547,3689,3943,3407,4201,4280,4380,39.79135,55.87855,89.60748,28.16804,25.48658,0,104.9155,32.27546,69979.96,47.53698,28.21035,273.5656,20.07387,321.6287,84.92891
"903",903,"Factor #903",21.4076,21,47.52174,29083,38393,36271,43040,46364,44370,60.82609,115.6957,61.82678,46.86353,79.68879,0,918.0821,43.3913,41.26087,109.946,65.45242,75.86026,33.70689,98.49732,166.3478
"905",906,"Factor #906",21.4947,17,0,129877,133063,122274,134358.4,135173,132889,0,25.79869,513.1245,0,0,0,195.2111,22.99236,244.3583,20.15627,23.93415,1128869,20.83602,35.06709,180.9034
"906",905,"Factor #905",21.4947,17,0,129877,133063,122274,134358,135173,132889,0,26.11776,340.5763,0,0,0,211.8688,23.01453,271.6577,20.13453,23.94132,1128869,20.83919,35.20398,182.876
"909",910,"Factor #910",21.8259,22,23.60261,2228,1362,1413,1632,1749,2304,87.91064,57.39385,177.4841,31.56782,26.91169,52.1825,147.6788,65.65039,127.9378,18.27758,39.21575,171.4215,26.52685,81.141,60.54663
"910",907,"Factor #907",21.8336,21,0,1996.261,181.7395,1735.783,1966.348,1268.217,557.913,1127,839,284.8696,359.4348,350.3369,234.4783,1947.761,418,6272.261,525.885,756,310.5266,545,1164,1560
"911",911,"Factor #911",21.8382,22,5.631864,1652.194,784,1066,1462.578,1703,2186,46.77662,142.0417,49.38317,16.92745,26.06515,51.2259,119.8873,11.68811,163.5855,17.8951,25.77006,86.45456,21.70342,83.6615,60.76733
"912",912,"Factor #912",21.8659,22,53.91304,2037,2207,2156,2236,2626,2343,273.4923,324.6087,261.7664,133.9032,310.5978,224.7256,1607.988,390.4773,6621.01,546.9586,300.156,536.3071,270.1057,684.5437,473.1748
"914",914,"Factor #914",21.9636,21,21.71656,24848,27185.22,23934,26815,26588,28147.09,47.13043,63.13043,14.82609,32.17391,31.44283,0,55.64099,32,56.51636,394.8619,29.73913,1752.779,31.26752,13.62856,167.5217
"915",913,"Factor #913",21.97,21,21.72522,24848,27185,23934,26815,26588,28147,47.13043,12.52174,14.82609,32.17391,31.4562,0,55.6201,32,65.6961,335.6112,29.73913,1752.779,31.28524,13.63007,167.5217
"918",917,"Factor #917",22.0562,20,0,45859,46176.51,42146.65,47983.45,42109.8,44409.25,1132,47486,572528,614,152.8469,0,93632.35,33373,595.6854,547.1342,127.8626,416.7826,46.43478,28.78407,41.57811
"920",920,"Factor #920",22.0815,20,0,49083,66026,58492,75587,72433,77134,39.98196,3563.142,41945.6,47.82771,36.72542,0,859574,2416.979,624.6816,47.34771,31.49924,1075.944,26.90931,29.18001,21.40991
"921",922,"Factor #922",22.083,20,0,49083,66024.58,58492,75585.93,72433,77134,34.21899,3274.159,38475,46.82666,29.27249,0,859572.6,2221.7,174.8629,34.88897,50.78261,918.6215,36.3187,12.12466,13.16779
"922",921,"Factor #921",22.146,20,0,1062,1614,1606,1823,2287,2063,43.82278,444.2751,43700.02,33.52732,36.68529,0,859572.6,27.3376,1028.978,44.01121,58.19698,306.2182,28.16362,122.42,156.744
"926",925,"Factor #925",22.5564,22,25.9912,33781,36188,32972.66,37252,37357,37174,14836,143614,275984,4658,6267,67.41923,2962.898,88046,4979.081,49.88209,12155.54,678.4294,11.54522,27.02473,16.19392
"927",927,"Factor #927",22.5564,22,49.23391,33780.83,36188,32973,37252,37357.38,37174,14836.13,143613.8,275984.3,4658.191,5778,69.4055,1798.755,88046.21,3960.15,33.14865,12156,478.918,26.26071,18.47803,49.38613
"928",929,"Factor #929",22.5611,22,267.4783,1084.283,1905.159,1790.98,1872.17,887.0046,1340.326,538.1383,2155.513,4125.155,1735.066,1912.563,1279,2164.28,1836.185,736.4783,1992,1480.459,1050.783,1543,915,1038.304
"930",926,"Factor #926",22.5857,22,10.32588,13643.35,733,12305.96,3036,624,1071,684,6900.91,225193.2,2595.597,3345.533,38.85509,487.718,9094.557,148.6614,54.00363,6985.757,678.4294,10.70242,26.76867,20.9765
"934",935,"Factor #935",22.696,21,55.47826,12249.47,11661,10614,11401,11433,11165,2805.612,227.0526,11845.37,89.69249,653.638,38.46823,2443.534,130.1366,275.9043,44.92601,413.0953,460.8722,0,45.94183,44.37202
"935",934,"Factor #934",22.6969,21,44.1252,12250,11661,10614,11401,11266,11165,2833.584,224.023,11145.36,78.07267,561.7573,38.60759,2331.479,132.364,263.2208,47.4868,319.1697,400.7851,0,46.51391,50.92613
"937",937,"Factor #937",22.8414,22,849,1108,2451,475.913,899.6522,476.4348,500.1739,352.5217,380.5597,1377,471.5217,217.5652,317.3913,675.5274,430.4783,594.3562,341.7826,338.5217,888.4425,249.6522,328.6773,229.4783
"938",939,"Factor #939",22.9068,22,103.7221,1905,2601,2168,2864.128,2794.425,1953,94.17737,294.7941,398.4331,126.9618,75.40991,58.49653,5878.121,138.5281,54957.56,274.4081,63.72336,11404.02,93.40112,307.8915,87.24747
"939",938,"Factor #938",22.9082,22,27.87622,2359,2683,2473,2864,2794,2688,65.16775,238.1785,84.44856,30.04445,63.97922,49.66649,1391.517,46.96839,55187,87.15627,18.19682,4625.227,50.39155,255.9636,73.928
"943",943,"Factor #943",22.9657,22,6.901203,388.7233,499.9352,459.7375,594,585,579,5.676353,470.9973,63.43478,5.406242,22.92787,4.176682,175.5346,46.87396,133.1511,359.6081,3.093584,480.8373,17.0074,9442,31.24808
"944",945,"Factor #945",22.9873,22,71.78261,688,728,1069.389,1180,671,1150,36.55155,60.535,123.0435,5.930169,36.86211,4.325737,657.8066,11.84249,22.95896,182.3561,31.3448,312.1703,59.30435,35.23837,34.90263
"946",944,"Factor #944",23.0086,21,90.13043,681,1182,1005,1172,1250,1156,26.98912,59.27348,123.0435,112,21.2398,0,135.5736,37.53358,22.94916,181.9929,17.94978,234.4543,59.30435,34.77886,34.86783
"950",951,"Factor #951",23.1271,21,0,1727,1304,1474,1126,1720.565,1418,35.77569,1137.941,34.89198,31.5221,37.79328,46.08423,350.369,37.33088,100.389,47.32046,23.78179,842.7148,33.30366,52.95971,52.3913
"951",950,"Factor #950",23.1286,21,0,1894,1492,1474,1267,1721,1418,32.7246,1143.004,35.11329,31.28481,37.79043,45.99241,319.5562,37.2008,100.6879,47.33742,23.66918,843.0909,33.08233,45.04007,52.3913
"952",954,"Factor #954",23.2358,18,0,2146,713,2439.038,3136.944,2830.215,643,334.5235,44080,79.56522,0,0,0,529.7,723.1658,59.36838,97.13043,19.18063,138.9386,47.6969,53.14741,67.78538
"953",952,"Factor #952",23.2421,17,0,1832,2721,2439,3064,2784,3084,325.8713,44080,79.56522,0,0,0,5752.765,723.1658,80.23679,101.6344,0,235.441,60.69736,52.65217,70.15321
"954",953,"Factor #953",23.2479,17,0,1586.134,2296,1765,2841,2784.433,2724,334.5235,44080.25,79.56522,0,0,0,8538.056,723.1658,95.97051,337.4558,0,427.7438,67.9314,52.65217,68.87341
"957",957,"Factor #957",23.6923,20,0,252.7492,775,727.6816,2727,1275,1980,57.47412,47.24983,18.71648,33.40348,19.91229,0,1234.701,12.35486,146456,32.34309,40.61869,17198.19,26.28705,33.21708,20.05756
"958",956,"Factor #956",23.7255,21,0,259.6497,883,728,2727,2416,1980,57.23608,205.1835,36.94486,33.80683,21.48633,27.10329,1050.675,17.68591,1236,29.04793,42.95022,17198,36.04295,41.91638,21.4175
"959",958,"Factor #958",23.7379,21,0,259.6497,875,673.7852,2336,2416.037,1824,24.81871,184.6727,71.03697,34.27139,25.10697,23.97114,388.7754,22.00646,1558,21.93369,28.42147,16816.54,35.99852,34.36073,19.69477
"961",960,"Factor #960",23.9702,21,0,676.4348,1002,823,1151,1256,1202,106.1215,24794.68,183.0661,36.48129,384.7738,28.68199,1732.947,2380,100.7758,18.61291,133.0169,741.4835,15.03001,52.77975,48.11303
"965",965,"Factor #965",24.1157,21,0,70004,61281,70004,52928,52199,42813,3567,240579,598443,226.7168,46.04348,20.62935,57.84378,31198,72.44151,30.50075,34.72599,1144.42,79,21.69565,24.13495
"966",966,"Factor #966",24.1176,21,0,70004,61281,70004.23,52928,52198.79,42813.01,3378,240578.9,598442.6,226.7168,46.5668,20.99367,62.91765,788,73.35012,30.55343,34.77111,1144.42,79,22.20473,25.22203
"967",969,"Factor #969",24.1809,22,33.69071,1303,4746.632,1344,3255,2288,1016,44.56082,159.7034,17847.61,36.88906,40.88833,26.15167,30018,244.751,79.55056,74.73526,83.21739,132.8912,44.29542,6.246313,93.89611
"968",967,"Factor #967",24.2193,22,33.63932,4101,4906,4241,5731,5527,5589,63.78261,486.3478,75.54905,83.00406,40.69565,26.42918,30018,80.08696,176.7214,77.86871,83.21739,93.64049,52.47826,39.85117,95.54772
"969",968,"Factor #968",24.2268,22,33.70862,3237,4618.987,3371,4244,2451,5589,96.52174,487.4783,199.1895,93.34783,23.21575,26.43868,30017.52,69.56522,838.5968,77.80573,77.17391,70.4935,54.82609,39.99225,96.05925
"970",971,"Factor #971",24.2309,22,36.94841,1204,1654,1748,2039,2096,2027,49.57556,74.93948,46.6087,45.92436,52.47826,33.16705,6766.22,49.79943,1600.966,99.3544,51.19446,46.05556,61.71133,68.42367,53.56522
"971",970,"Factor #970",24.2461,22,11.15864,1157,1362,1427,1693,1822,1670,49.7842,85.07875,46.6087,46.1202,52.47826,33.33574,566.2938,47.31639,1515.335,40.0327,51.22852,118.9581,70.45594,68.48236,54.40609
"972",972,"Factor #972",24.2648,22,11.35995,1203.826,1362.435,1427,1036,1040,1464,37.46395,83.14294,21.11358,71.29839,33.41496,13.48546,510.7355,48.11773,1317.158,62.89699,10.77237,92.30885,67.11781,68.58463,62.6437
